Model,MAE,RMSE,sMAPE (%),MASE,MAE Rank,RMSE Rank,sMAPE Rank,MASE Rank,Average Rank,Final Rank
LSTM Baseline,1.3334747158333335,1.6459704679013765,43.88999806906352,0.9909871557494594,1.0,1.0,1.0,1.0,1.0,1
LSTM + ONI,1.524525478375,1.9421881095910583,49.63711906149739,1.132968739297231,2.0,2.0,2.0,2.0,2.0,2
ARIMAX,4.654987003087384,6.305484612613396,85.44370292023095,3.45940742292772,3.0,3.0,3.0,3.0,3.0,3
Prophet,5.016948237801043,6.685003591808873,87.40375178878153,3.728403100327039,4.0,4.0,4.0,4.0,4.0,4
